Processo;Contramarca;Navio;IMO;ATA;ETD;Bandeira;Tipo Navio;Agente Navegacao;Porto Seguinte;Porto Procedente;Motivo Escala;Local Atribuido;Morada Agente;Telefone Agente;Email Agente;Indicativo Chamada;GT;TAL;Comprimento;Calado Maximo;Porto Registo;Armador;Nome Anterior;Tipo;TAB;DWT;Boca Sinal;Velocidade Maxima;Tipo Trafego;Certificado Verde;Data Construcao;Capacidade Teus
LIS202001647;""04012020001651"";ADRISCRISTUY;7641566;2020-11-10 14:22;2020-11-10 14:00;Espanha;Draga;PINTO BASTO IV-SERVICOS MARITIMOS,LDA;PORTO DESCONHECIDO;ALGECIRAS;21 - ESTACIONAMENTO EM CAIS;430 - PONTE CAIS DE ALVERCA;AV 24 DE JULHO 1-D;""269862598"";agency.sines@pintobasto.com;EHIW;245;0;34;2.2;ESVGO;CANLEMAR, S.L. ;;493;0;450;8.5;0;3;C69;undefined;0
LIS202001383;""04012020001387"";EXPEDITO;2224083;2020-09-22 06:00;2020-12-31 23:00;Portugal;Rebocador;PINTO BASTO IV-SERVICOS MARITIMOS,LDA;PORTO DESCONHECIDO;SINES;38 - TREM DE REBOQUE - REBOCADOR NACIONAL;430 - PONTE CAIS DE ALVERCA;AV 24 DE JULHO 1-D;""269862598"";agency.sines@pintobasto.com;.;29;0;16.5;1.2;PTLIS;SUBMARIT, SUBEMPREITADAS E TRABALHOS MARITIMOS LDA;;431;9;50;4;0;5;;undefined;0
LIS202001325;""04012020001329"";EOLO;2223633;2020-09-05 17:43;2022-11-30 19:30;Portugal;Rebocador;PMS - PORTUGUESE MARIT AGENCY LDA;PORTO DESCONHECIDO;ORAN (WAHRAN);40 - TREM DE REBOQUE - REBOCADO;430 - PONTE CAIS DE ALVERCA;Rua Amélia Rey Colaço, Nº 40, Sala 25;""213405484"";jprata@pmsagency.pt;LX-89-RL;19;0;15.5;2;PTLIS;SUBMARIT-SUBEMPREITADAS E TRABALHOA MARITIMOS, LDA.;;431;893;893;3.43;0;5;;undefined;0
LIS202001253;""04012020001257"";GAVEA;2223481;2020-08-21 13:03;2020-08-21 15:00;Portugal;Batelão sem propulsão de carga seca n.d.;PINTO BASTO IV-SERVICOS MARITIMOS,LDA;PORTO DESCONHECIDO;FARO;40 - TREM DE REBOQUE - REBOCADO;430 - PONTE CAIS DE ALVERCA;AV 24 DE JULHO 1-D;""269862598"";agency.sines@pintobasto.com;LX121AL;124;0;29.54;2;PTLIS;SUBMARIT-SUBEMPREITADAS E TRABALHOS MARITIMOS, LDA;;349;0;124;5.97;0;5;;Sun Jul 01 00:00:00 GMT 1990;0
LIS202001199;""04012020001203"";DOURO;2223735;2020-08-09 10:52;2020-12-30 23:00;Portugal;Submersíveis / Plataformas / Estruturas Diversas;PINTO BASTO IV-SERVICOS MARITIMOS,LDA;PORTO DESCONHECIDO;FARO;40 - TREM DE REBOQUE - REBOCADO;430 - PONTE CAIS DE ALVERCA;AV 24 DE JULHO 1-D;""269862598"";agency.sines@pintobasto.com;.;218;0;31.9;1.2;PTLIS;SUBMARIT - SUBEMPREITADAS E TRABA.MARITIMOS  LDA;;999;172;218;10.08;0;5;;undefined;0
LIS202000681;""04012020000685"";MONTEVIL;7911416;2020-04-15 12:38;2022-04-30 12:00;Portugal;Rebocador;PINTO BASTO IV-SERVICOS MARITIMOS,LDA;SETUBAL;SINES;31 - SERVICO NO PORTO (DRAGAGENS,REBOQUES, OUTROS);125 - ECLUSA/TERMINAL DE PASSAGEIROS ROCHA;AV 24 DE JULHO 1-D;""269862598"";agency.sines@pintobasto.com;LX-123-RC;384;0;38.84;4.5;PTLIS;EPINOSUL-EMP.PILOTAGEM DE NORTE SUL E SERVIÇOS, SARL;;431;30;384;9.1;0;3;CS;Sat Jan 01 00:00:00 GMT 1983;0
LIS202000541;""04012020000544"";GUARDIÃO;6901488;2020-03-13 07:49;2020-12-13 10:00;Portugal;Rebocador;L. BRANCO – Navegação e Trânsitos, Lda.;PORTO DESCONHECIDO;SETUBAL;20 - DESMANTELAMENTO;670 - ESTALEIRO DA SOCARMAR/SEIXAL;Rua de Santo Amaro, n.º 17 A;""26548465"";info@l-branco.com;CSYF9;302;0;34.29;4;PTSET;ATLANTIC TUGS;;431;90;190;9.45;12;2;OUTROS;Wed Jan 01 00:00:00 GMT 1969;0
LIS201902609;""04012019002608"";MONTENOVO;9276119;2019-12-08 20:45;2020-12-31 18:00;Portugal;Rebocador;PMS - PORTUGUESE MARIT AGENCY LDA;SETUBAL;SETUBAL;31 - SERVICO NO PORTO (DRAGAGENS,REBOQUES, OUTROS);150 - CAIS NORTE DA DOCA DE ALCANTARA;Rua Amélia Rey Colaço, Nº 40, Sala 25;""213405484"";jprata@pmsagency.pt;CSDT;239;71;28.4;3;PTSET;REBONAVE-REBOQUES ASSISTENCIA NAVAL SA;;431;0;355;8.6;12;2;CA;Sun Jun 15 00:00:00 GMT 2003;0
LIS201900105;""04012019000105"";LUTAMAR;6600034;2019-01-17 09:36;2019-10-25 10:00;Portugal;Rebocador;L. BRANCO – Navegação e Trânsitos, Lda.;PORTO DESCONHECIDO;SETUBAL;20 - DESMANTELAMENTO;720 - PONT-CAIS BAPTISTA & IRMÃOS/ALH. VEDROS;Rua de Santo Amaro, n.º 17 A;""26548465"";info@l-branco.com;CSMF;137;0;26.58;3;PTLIS;;;431;0;0;7.19;0;5;;Wed Jun 01 00:00:00 GMT 1966;0
LIS201802135;""04012018002145"";ARDENT OF SOUTHAMPTON;8891027;2018-11-04 19:09;2019-08-19 22:00;Reino Unido;Não Discriminado;LISMARITIMA-NAVEGACAO, LDA;LAS PALMAS DE GRAND CANARIA;PENICHE;43 - OUTRAS ARRIBADAS NÃO ESPECIFICADAS;130 - CAIS SUL DA DOCA DE ALCANTARA;Rua José Estevão, 133 – 4º;""969057693 "";lismaritima@lismaritima.pt;GZGU;219;0;34.04;3;GBSOU;GEORGE EVANS;;499;84;232;8.86;0;1;CS;Thu Jan 01 00:00:00 GMT 1970;0
